date,price_of_eth
2015-08-07,2.83
2015-08-08,1.33
2015-08-10,0.687586
2015-08-11,1.07
2015-08-12,1.26
2015-08-13,1.83
2015-08-14,1.83
2015-08-15,1.67
2015-08-16,1.48
2015-08-17,1.2
2015-08-18,1.28
2015-08-19,1.25
2015-08-20,1.48
2015-08-21,1.41
2015-08-22,1.38
2015-08-23,1.36
2015-08-24,1.25
2015-08-25,1.16
2015-08-26,1.12
2015-08-27,1.13
2015-08-28,1.19
2015-08-29,1.17
2015-08-30,1.32
2015-08-31,1.35
2015-09-01,1.35
2015-09-02,1.28
2015-09-03,1.26
2015-09-04,1.27
2015-09-05,1.33
2015-09-06,1.3
2015-09-07,1.26
2015-09-08,1.24
2015-09-09,1.21
2015-09-10,1.17
2015-09-11,0.976509
2015-09-12,1.04
2015-09-13,0.938652
2015-09-14,0.874023
2015-09-15,0.941823
2015-09-16,0.90322
2015-09-17,0.883079
2015-09-18,0.846071
2015-09-19,0.882104
2015-09-20,0.936328
2015-09-21,0.901093
2015-09-22,0.897142
2015-09-23,0.894048
2015-09-24,0.816037
2015-09-25,0.740519
2015-09-26,0.777801
2015-09-27,0.721358
2015-09-28,0.583057
2015-09-29,0.657832
2015-09-30,0.734763
2015-10-01,0.685812
2015-10-02,0.676222
2015-10-03,0.687476
2015-10-04,0.667547
2015-10-05,0.628255
2015-10-06,0.645658
2015-10-07,0.610013
2015-10-08,0.623483
2015-10-09,0.650769
2015-10-10,0.629795
2015-10-11,0.637044
2015-10-12,0.628787
2015-10-13,0.602627
2015-10-14,0.517689
2015-10-15,0.561499
2015-10-16,0.533148
2015-10-17,0.549028
2015-10-18,0.518445
2015-10-19,0.487067
2015-10-20,0.432979
2015-10-21,0.439769
2015-10-22,0.565462
2015-10-23,0.540738
2015-10-24,0.568574
2015-10-25,0.631939
2015-10-26,0.743958
2015-10-27,0.854455
2015-10-28,1.01
2015-10-29,1.16
2015-10-30,1.04
2015-10-31,0.907092
2015-11-01,1.06
2015-11-02,0.955046
2015-11-03,1
2015-11-04,0.901809
2015-11-05,0.906601
2015-11-06,0.909442
2015-11-07,0.922482
2015-11-08,1.03
2015-11-09,0.995803
2015-11-10,0.934834
2015-11-11,0.788761
2015-11-12,0.900742
2015-11-13,0.904082
2015-11-14,0.884229
2015-11-15,0.910826
2015-11-16,0.933841
2015-11-17,0.995273
2015-11-18,0.994429
2015-11-19,0.951471
2015-11-20,0.926803
2015-11-21,0.973572
2015-11-22,0.964739
2015-11-23,0.94522
2015-11-24,0.899361
2015-11-25,0.867707
2015-11-26,0.894875
2015-11-27,0.870713
2015-11-28,0.917399
2015-11-29,0.871745
2015-11-30,0.873601
2015-12-01,0.875004
2015-12-02,0.822734
2015-12-03,0.824765
2015-12-04,0.838791
2015-12-05,0.864584
2015-12-06,0.834992
2015-12-07,0.80075
2015-12-08,0.818853
2015-12-09,0.791829
2015-12-10,0.847442
2015-12-11,0.916739
2015-12-12,0.971258
2015-12-13,0.958303
2015-12-14,0.99549
2015-12-15,1.02
2015-12-16,0.988912
2015-12-17,0.940228
2015-12-18,0.921172
2015-12-19,0.909633
2015-12-20,0.903232
2015-12-21,0.896806
2015-12-22,0.878959
2015-12-23,0.867565
2015-12-24,0.861363
2015-12-25,0.870718
2015-12-26,0.853018
2015-12-27,0.858887
2015-12-28,0.84217
2015-12-29,0.869488
2015-12-30,0.900354
2015-12-31,0.93654
2016-01-01,0.946313
2016-01-02,0.938126
2016-01-03,0.972197
2016-01-04,0.959298
2016-01-05,0.953102
2016-01-06,0.968434
2016-01-07,0.958977
2016-01-08,0.995575
2016-01-09,1.02
2016-01-10,1.02
2016-01-11,1.07
2016-01-12,1.17
2016-01-13,1.13
2016-01-14,1.16
2016-01-15,1.21
2016-01-16,1.22
2016-01-17,1.32
2016-01-18,1.4
2016-01-19,1.38
2016-01-20,1.57
2016-01-21,1.54
2016-01-22,1.47
2016-01-23,1.69
2016-01-24,2.13
2016-01-25,2.48
2016-01-26,2.09
2016-01-27,2.38
2016-01-28,2.52
2016-01-29,2.49
2016-01-30,2.44
2016-01-31,2.3
2016-02-01,2.22
2016-02-02,2.4
2016-02-03,2.52
2016-02-04,2.56
2016-02-05,2.53
2016-02-06,2.52
2016-02-07,2.95
2016-02-08,3.17
2016-02-09,3.72
2016-02-10,4.43
2016-02-11,6.01
2016-02-12,5.48
2016-02-13,5.37
2016-02-14,5.17
2016-02-15,5.32
2016-02-16,4.37
2016-02-17,3.74
2016-02-18,4.4
2016-02-19,4.49
2016-02-20,4.3
2016-02-21,4.65
2016-02-22,5.61
2016-02-23,5.61
2016-02-24,6.13
2016-02-25,5.94
2016-02-26,5.9
2016-02-27,6.36
2016-02-28,6.44
2016-02-29,6.31
2016-03-01,7.56
2016-03-02,8.4
2016-03-03,9.5
2016-03-04,10.04
2016-03-05,10.94
2016-03-06,10.96
2016-03-07,9.4
2016-03-08,9.8
2016-03-09,11.97
2016-03-10,11.21
2016-03-11,11.21
2016-03-12,13.38
2016-03-13,14.89
2016-03-14,12.29
2016-03-15,12.97
2016-03-16,12.53
2016-03-17,10.96
2016-03-18,10.8
2016-03-19,10.44
2016-03-20,10.22
2016-03-21,11.85
2016-03-22,11.32
2016-03-23,12.4
2016-03-24,11.13
2016-03-25,10.64
2016-03-26,10.97
2016-03-27,10.38
2016-03-28,11.68
2016-03-29,11.74
2016-03-30,11.88
2016-03-31,11.35
2016-04-01,11.64
2016-04-02,11.56
2016-04-03,11.51
2016-04-04,11.19
2016-04-05,10.42
2016-04-06,10.67
2016-04-07,10.03
2016-04-08,9.76
2016-04-09,9.9
2016-04-10,8.81
2016-04-11,8.67
2016-04-12,7.52
2016-04-13,8.02
2016-04-14,8.43
2016-04-15,8.21
2016-04-16,8.56
2016-04-17,9.32
2016-04-18,8.96
2016-04-19,8.7
2016-04-20,8.48
2016-04-21,8.11
2016-04-22,7.86
2016-04-23,8.38
2016-04-24,8
2016-04-25,7.81
2016-04-26,7.42
2016-04-27,7.72
2016-04-28,7.25
2016-04-29,7.48
2016-04-30,8.89
2016-05-01,8.83
2016-05-02,10.11
2016-05-03,9.29
2016-05-04,9.41
2016-05-05,9.83
2016-05-06,9.28
2016-05-07,9.38
2016-05-08,9.53
2016-05-09,9.35
2016-05-10,9.35
2016-05-11,9.98
2016-05-12,10.09
2016-05-13,10.59
2016-05-14,10.18
2016-05-15,9.96
2016-05-16,11.13
2016-05-17,12.16
2016-05-18,13.35
2016-05-19,14.72
2016-05-20,13.69
2016-05-21,14
2016-05-22,14.25
2016-05-23,13.24
2016-05-24,12.66
2016-05-25,12.5
2016-05-26,12.5
2016-05-27,11.19
2016-05-28,11.76
2016-05-29,12.39
2016-05-30,12.68
2016-05-31,14.01
2016-06-01,13.86
2016-06-02,13.77
2016-06-03,13.84
2016-06-04,13.7
2016-06-05,13.97
2016-06-06,13.94
2016-06-07,14.55
2016-06-08,14.43
2016-06-09,14.44
2016-06-10,13.94
2016-06-11,13.96
2016-06-12,15.7
2016-06-13,17.55
2016-06-14,18.77
2016-06-15,18.42
2016-06-16,20.51
2016-06-17,15.4
2016-06-18,11.2
2016-06-19,12.23
2016-06-20,11.81
2016-06-21,12.98
2016-06-22,12.74
2016-06-23,13.68
2016-06-24,13.94
2016-06-25,14.28
2016-06-26,13.85
2016-06-27,13.93
2016-06-28,12.3
2016-06-29,12.8
2016-06-30,13.34
2016-07-01,12.33
2016-07-02,12.02
2016-07-03,11.83
2016-07-04,11.42
2016-07-05,10.54
2016-07-06,10.51
2016-07-07,10.1
2016-07-08,11.4
2016-07-09,11
2016-07-10,10.96
2016-07-11,10.52
2016-07-12,10.61
2016-07-13,10.49
2016-07-14,11.24
2016-07-15,11.33
2016-07-16,11.7
2016-07-17,11.31
2016-07-18,11.02
2016-07-19,11.58
2016-07-20,12.15
2016-07-21,12.61
2016-07-22,14.32
2016-07-23,14.39
2016-07-24,12.8
2016-07-25,13.82
2016-07-26,11.77
2016-07-27,12.97
2016-07-28,12.88
2016-07-29,12.84
2016-07-30,12.55
2016-07-31,11.87
2016-08-01,10.97
2016-08-02,8.35
2016-08-03,10.22
2016-08-04,11.03
2016-08-05,10.94
2016-08-06,10.9
2016-08-07,10.92
2016-08-08,11.25
2016-08-09,12.19
2016-08-10,12.14
2016-08-11,11.99
2016-08-12,11.97
2016-08-13,11.58
2016-08-14,11.26
2016-08-15,11.23
2016-08-16,10.25
2016-08-17,10.74
2016-08-18,10.72
2016-08-19,10.72
2016-08-20,11.26
2016-08-21,11.15
2016-08-22,11.06
2016-08-23,11.01
2016-08-24,11.01
2016-08-25,11.34
2016-08-26,11.26
2016-08-27,11.15
2016-08-28,10.91
2016-08-29,10.91
2016-08-30,11.21
2016-08-31,11.5
2016-09-01,12
2016-09-02,12.09
2016-09-03,11.8
2016-09-04,11.66
2016-09-05,11.75
2016-09-06,11.68
2016-09-07,11.55
2016-09-08,11.34
2016-09-09,11.63
2016-09-10,12.12
2016-09-11,11.6
2016-09-12,11.85
2016-09-13,11.88
2016-09-14,11.91
2016-09-15,11.9
2016-09-16,12.52
2016-09-17,12.68
2016-09-18,12.37
2016-09-19,13.16
2016-09-20,14.31
2016-09-21,13.71
2016-09-22,13.23
2016-09-23,13.32
2016-09-24,12.86
2016-09-25,13.05
2016-09-26,12.82
2016-09-27,13.07
2016-09-28,13.31
2016-09-29,13.1
2016-09-30,13.19
2016-10-01,13.27
2016-10-02,13.2
2016-10-03,13.47
2016-10-04,13.26
2016-10-05,13.06
2016-10-06,12.83
2016-10-07,12.66
2016-10-08,12.18
2016-10-09,12.03
2016-10-10,11.84
2016-10-11,11.75
2016-10-12,11.85
2016-10-13,11.96
2016-10-14,11.92
2016-10-15,11.94
2016-10-16,11.93
2016-10-17,11.97
2016-10-18,12.51
2016-10-19,11.97
2016-10-20,12.02
2016-10-21,12.09
2016-10-22,12.05
2016-10-23,11.93
2016-10-24,11.89
2016-10-25,11.27
2016-10-26,11.5
2016-10-27,11.46
2016-10-28,11.52
2016-10-29,10.34
2016-10-30,11.19
2016-10-31,10.88
2016-11-01,10.79
2016-11-02,10.78
2016-11-03,10.81
2016-11-04,11.13
2016-11-05,11.07
2016-11-06,10.92
2016-11-07,10.87
2016-11-08,10.89
2016-11-09,10.66
2016-11-10,10.52
2016-11-11,10.29
2016-11-12,9.66
2016-11-13,10.11
2016-11-14,9.99
2016-11-15,10.2
2016-11-16,10.03
2016-11-17,9.96
2016-11-18,9.45
2016-11-19,9.67
2016-11-20,9.53
2016-11-21,9.58
2016-11-22,9.81
2016-11-23,9.75
2016-11-24,9.18
2016-11-25,9.34
2016-11-26,9.29
2016-11-27,8.91
2016-11-28,8.71
2016-11-29,8.16
2016-11-30,8.65
2016-12-01,8.44
2016-12-02,7.64
2016-12-03,7.89
2016-12-04,7.47
2016-12-05,6.82
2016-12-06,7.63
2016-12-07,8.14
2016-12-08,8.3
2016-12-09,8.5
2016-12-10,8.1
2016-12-11,8.21
2016-12-12,8.47
2016-12-13,8.35
2016-12-14,8.21
2016-12-15,7.77
2016-12-16,7.8
2016-12-17,7.82
2016-12-18,7.86
2016-12-19,7.59
2016-12-20,7.62
2016-12-21,7.86
2016-12-22,7.58
2016-12-23,7.2
2016-12-24,7.22
2016-12-25,7.21
2016-12-26,7.27
2016-12-27,7.17
2016-12-28,7.61
2016-12-29,8.17
2016-12-30,8.15
2016-12-31,8.01
2017-01-01,8.06
2017-01-02,8.36
2017-01-03,9.63
2017-01-04,10.97
2017-01-05,10.12
2017-01-06,10.15
2017-01-07,9.82
2017-01-08,10.27
2017-01-09,10.29
2017-01-10,10.52
2017-01-11,9.66
2017-01-12,9.67
2017-01-13,9.65
2017-01-14,9.7
2017-01-15,9.79
2017-01-16,9.52
2017-01-17,10.26
2017-01-18,10.13
2017-01-19,10.39
2017-01-20,10.55
2017-01-21,10.87
2017-01-22,10.75
2017-01-23,10.75
2017-01-24,10.4
2017-01-25,10.47
2017-01-26,10.56
2017-01-27,10.51
2017-01-28,10.55
2017-01-29,10.43
2017-01-30,10.57
2017-01-31,10.68
2017-02-01,10.7
2017-02-02,10.81
2017-02-03,10.94
2017-02-04,11.33
2017-02-05,11.24
2017-02-06,11.29
2017-02-07,11.43
2017-02-08,11.34
2017-02-09,10.91
2017-02-10,11.28
2017-02-11,11.4
2017-02-12,11.35
2017-02-13,11.28
2017-02-14,12.97
2017-02-15,12.93
2017-02-16,12.84
2017-02-17,12.7
2017-02-18,12.82
2017-02-19,12.78
2017-02-20,12.75
2017-02-21,12.74
2017-02-22,12.6
2017-02-23,13.16
2017-02-24,13.07
2017-02-25,13.55
2017-02-26,14.55
2017-02-27,15.36
2017-02-28,15.7
2017-03-01,17.17
2017-03-02,18.99
2017-03-03,19.59
2017-03-04,18.64
2017-03-05,19.25
2017-03-06,19.67
2017-03-07,18.83
2017-03-08,16.75
2017-03-09,17.63
2017-03-10,19.26
2017-03-11,21.4
2017-03-12,23.1
2017-03-13,28.45
2017-03-14,28.54
2017-03-15,34.2
2017-03-16,39.86
2017-03-17,44.07
2017-03-18,32.27
2017-03-19,44.09
2017-03-20,41.86
2017-03-21,42.48
2017-03-22,41.26
2017-03-23,43.27
2017-03-24,50.89
2017-03-25,50.68
2017-03-26,50.05
2017-03-27,49.02
2017-03-28,50.26
2017-03-29,52.84
2017-03-30,52.31
2017-03-31,49.96
2017-04-01,50.43
2017-04-02,48.38
2017-04-03,43.58
2017-04-04,41.8
2017-04-05,45.59
2017-04-06,42.98
2017-04-07,42.4
2017-04-08,44.5
2017-04-09,44.19
2017-04-10,43.91
2017-04-11,43.86
2017-04-12,46.2
2017-04-13,49.75
2017-04-14,47.56
2017-04-15,49.12
2017-04-16,48.71
2017-04-17,48.35
2017-04-18,50.76
2017-04-19,48.16
2017-04-20,50.07
2017-04-21,48.8
2017-04-22,49.08
2017-04-23,50.61
2017-04-24,51.1
2017-04-25,50.97
2017-04-26,54.88
2017-04-27,63.96
2017-04-28,73.01
2017-04-29,70.45
2017-04-30,79.8
2017-05-01,76.85
2017-05-02,77.35
2017-05-03,80.93
2017-05-04,94.11
2017-05-05,91.16
2017-05-06,96.43
2017-05-07,89.74
2017-05-08,87.95
2017-05-09,87.5
2017-05-10,88.41
2017-05-11,88.46
2017-05-12,88.18
2017-05-13,89.14
2017-05-14,90.06
2017-05-15,90.5
2017-05-16,87.09
2017-05-17,88.21
2017-05-18,96.63
2017-05-19,122.16
2017-05-20,123.03
2017-05-21,148.66
2017-05-22,153.99
2017-05-23,171.08
2017-05-24,190.43
2017-05-25,176.82
2017-05-26,162.94
2017-05-27,159.06
2017-05-28,172.34
2017-05-29,196.08
2017-05-30,230.8
2017-05-31,231.37
2017-06-01,221.83
2017-06-02,224.32
2017-06-03,225.4
2017-06-04,247.43
2017-06-05,248.93
2017-06-06,266.14
2017-06-07,256.22
2017-06-08,260.34
2017-06-09,280.33
2017-06-10,337.79
2017-06-11,341.08
2017-06-12,398.43
2017-06-13,389.94
2017-06-14,347.78
2017-06-15,346.37
2017-06-16,358.28
2017-06-17,372.36
2017-06-18,359.44
2017-06-19,362.04
2017-06-20,358.05
2017-06-21,327.89
2017-06-22,326.96
2017-06-23,331.91
2017-06-24,310.05
2017-06-25,288.05
2017-06-26,258.92
2017-06-27,280.81
2017-06-28,317.29
2017-06-29,300.18
2017-06-30,284.69
2017-07-01,262.48
2017-07-02,286.13
2017-07-03,278.6
2017-07-04,269.74
2017-07-05,265.94
2017-07-06,267.47
2017-07-07,241.48
2017-07-08,246.21
2017-07-09,238.75
2017-07-10,210.53
2017-07-11,194.33
2017-07-12,222.14
2017-07-13,206.41
2017-07-14,197.97
2017-07-15,171.78
2017-07-16,156.47
2017-07-17,188.35
2017-07-18,228.5
2017-07-19,199.59
2017-07-20,223.46
2017-07-21,217.09
2017-07-22,231.14
2017-07-23,226.72
2017-07-24,224.91
2017-07-25,206.81
2017-07-26,200.33
2017-07-27,203.19
2017-07-28,192.59
2017-07-29,205.51
2017-07-30,197.2
2017-07-31,203.29
2017-08-01,227.08
2017-08-02,219.06
2017-08-03,224.87
2017-08-04,221.67
2017-08-05,253.16
2017-08-06,263.22
2017-08-07,268.5
2017-08-08,295.15
2017-08-09,297.07
2017-08-10,296.78
2017-08-11,306.83
2017-08-12,308.63
2017-08-13,297.16
2017-08-14,296.4
2017-08-15,288.45
2017-08-16,300.04
2017-08-17,300.57
2017-08-18,296.11
2017-08-19,296.62
2017-08-20,295.17
2017-08-21,322.2
2017-08-22,312.17
2017-08-23,316.79
2017-08-24,321.79
2017-08-25,329.03
2017-08-26,329.87
2017-08-27,343.34
2017-08-28,344.2
2017-08-29,366.81
2017-08-30,378.91
2017-08-31,382.93
2017-09-01,386.34
2017-09-02,346.4
2017-09-03,349.93
2017-09-04,299.72
2017-09-05,318.97
2017-09-06,333.21
2017-09-07,329.42
2017-09-08,304.48
2017-09-09,299.69
2017-09-10,292.78
2017-09-11,296.48
2017-09-12,290.59
2017-09-13,277.33
2017-09-14,214.31
2017-09-15,246.92
2017-09-16,244.81
2017-09-17,249.67
2017-09-18,287.96
2017-09-19,280.45
2017-09-20,279.42
2017-09-21,257.47
2017-09-22,263.47
2017-09-23,283.22
2017-09-24,280.68
2017-09-25,288.09
2017-09-26,283.93
2017-09-27,302.15
2017-09-28,294.31
2017-09-29,288.11
2017-09-30,297.27
2017-10-01,299.67
2017-10-02,295.84
2017-10-03,292.21
2017-10-04,293.04
2017-10-05,293.72
2017-10-06,307.71
2017-10-07,309.6
2017-10-08,307.06
2017-10-09,295.9
2017-10-10,299.92
2017-10-11,303.25
2017-10-12,302.02
2017-10-13,337.95
2017-10-14,335.34
2017-10-15,335.39
2017-10-16,331.97
2017-10-17,317.9
2017-10-18,314.46
2017-10-19,308.47
2017-10-20,302.36
2017-10-21,300.69
2017-10-22,295.49
2017-10-23,289.41
2017-10-24,298.76
2017-10-25,298.48
2017-10-26,295.71
2017-10-27,297.93
2017-10-28,296.46
2017-10-29,303.74
2017-10-30,306.25
2017-10-31,303.54
2017-11-01,292.33
2017-11-02,287.07
2017-11-03,305.84
2017-11-04,299.95
2017-11-05,297.52
2017-11-06,301.37
2017-11-07,295.24
2017-11-08,308.93
2017-11-09,322.33
2017-11-10,301.35
2017-11-11,316.26
2017-11-12,314.17
2017-11-13,315.34
2017-11-14,338.94
2017-11-15,334.29
2017-11-16,330.02
2017-11-17,333.35
2017-11-18,348.75
2017-11-19,353.44
2017-11-20,365.79
2017-11-21,361.06
2017-11-22,379.41
2017-11-23,412.56
2017-11-24,475
2017-11-25,467.45
2017-11-26,469
2017-11-27,484.36
2017-11-28,474.18
2017-11-29,428.35
2017-11-30,454.16
